,,02/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
TiffanyAlvord,null,,,,,,,,,,,,,,,,,,,972825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
officialpsy,null,,,,,,,,,,,,,,,,,,,,1142106,1996797,2295273,2435592,2874757,3088373,3317441,3317441,5784080,6035836,6291043,6449242,6497973,6645848,6670073,6795807,6860715,6900122,6940139,6968891,7023429,7270475,7347089,7426868,7483248,7569415,7635229,7701355,7758033,7826743,7880921,7961431,8008149,8090112,8105196,8149975,8186929,8236060,8507329,8681061,8788727,8874377,8946875,9015630,9067654,9119930,9193017,9247043,9300192,9385143,9459919,9548114,9619686,,,10153483,10344617,10425461,10452584,10452584,10452584,10452584,10452584,,,,,,,,,,,,,,,,,,,,,,,,
theslowmoguys,null,,,,,,,,,,,,,,,,,,,,1059713,1245647,1299552,1323889,1461931,1541551,,,,,,2627008,2689017,,,,3497313,3601904,3787615,3897926,4015393,4101446,4221610,4353149,4430182,4647391,4723287,4827893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotandfluffycomedy,null,,,,,,,,,,,,,,,,,,,,1031876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolaSoyGerman,null,,,,,,,,,,,,,,,,,,,,,1927682,2232556,2413645,3407130,4142337,5500479,5500479,7742676,8347168,9503298,10844679,11314281,12927183,13278954,14498715,15522474,16480526,17069341,17411718,17828367,18222780,18714771,19210528,19560241,19982776,20292367,20659243,21158632,21454901,21763036,22126207,22521922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macbarbie07,null,,,,,,,,,,,,,,,,,,,,,1218489,1293493,1354182,1617614,1798405,2043324,2043324,,,2847490,3270747,3390351,,,4651290,5145021,5534631,5772280,6052090,6342116,6512971,6811257,7192800,7396363,7641034,7809849,8010238,8211526,8375483,8497180,8678696,8805367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Neto,null,,,,,,,,,,,,,,,,,,,,,1197577,1256603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10494511,10881458,11677047,12256373,12393031,12393031,12393031,12393031,12393031,18746760,19318422,20092152,20422237,21848663,24411251,25771077,26147640,27157214,27317715,27891707,28409723,29390822,30418464,31187965,31651365,32593048,32755830,33192950,33831208,34288138,346000000,351000000,353000000
cimorellitheband,null,,,,,,,,,,,,,,,,,,,,,1164432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Mars,null,,,,,,,,,,,,,,,,,,,,,,1332741,,,,,,,,,,,5606828,5695409,,,,,,,,,,,,,,,,,,,9210152,9255622,9381194,9491291,9635563,9770367,9864733,9990930,10141231,10267048,10391704,10489978,10590742,10724009,10830490,10943542,11471198,11841110,12339224,12684221,13159117,14560366,14971412,15607772,15934187,16021903,16021903,16021903,16021903,16021903,19475169,19966631,20490866,20676399,21461389,22281541,22606507,22725862,23036578,23096959,23261877,23330249,23584148,23853050,24198431,24465733,24905890,24980948,25172791,25394241,25614047,258000000,261000000,262000000
lindseystomp,null,,,,,,,,,,,,,,,,,,,,,,1258098,1304230,1535000,1678253,2005342,2005342,2508861,,2841902,3090969,3213981,,,3988863,4176676,4358989,4558056,4734275,4937897,5061816,5187357,5352557,5470968,5643355,5799347,5932563,6116806,6268881,6437667,6599427,6688734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,null,,,,,,,,,,,,,,,,,,,,,,1250097,1334369,1927051,2321963,2941423,2941423,3798486,4013399,4298221,4474306,4509023,4718862,4768753,4993264,5156635,5345606,5447501,5548472,5654487,5669074,5705502,5752773,5782336,5853012,5900129,5962122,6025096,6105320,6152998,6223352,6287429,6352804,6362021,6392417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMTOWN,null,,,,,,,,,,,,,,,,,,,,,,1249406,1360099,1753186,2037720,2394268,2394268,2887199,3003548,3276791,3547273,3636874,3950914,4019581,4290227,4471115,4719520,4887554,5032592,5184543,5241996,5343335,5512653,5613023,5713336,5780473,5855678,5937894,6023519,6222395,6418538,6590948,6865069,6914470,7061128,7163304,7308252,7486766,7584085,7702690,7818100,7938467,8089172,8223412,8496885,8683514,8909685,9071723,9284970,9428342,9609792,9759557,9972051,10299242,10407451,10581160,10696289,10830460,10830460,10830460,10830460,10830460,13126295,13350082,13706649,13856207,14653167,,,,,,,,,,,,,,,,,,,
ElektraRecords,null,,,,,,,,,,,,,,,,,,,,,,,1414617,1835820,2141443,2791120,2791120,3805535,4073643,4514521,4967349,5138328,,,5996982,6292981,6615834,6836000,6977856,7142703,7249452,7386623,7548463,7666968,7813752,7920436,8047924,8248047,8454848,8632984,8856812,8986708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCmJiSbIoa_ZFiBOBDf6ZA,null,,,,,,,,,,,,,,,,,,,,,,,,2832966,2832966,2832966,2832966,4233804,4233804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NationalGeographic,null,,,,,,,,,,,,,,,,,,,,,,,,1897081,2174527,2451301,2451301,2692425,2755113,2861440,2959014,3061712,3185266,3200994,3255048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
movies,null,,,,,,,,,,,,,,,,,,,,,,,,1797144,2984312,4752963,4752963,7529939,8327748,9878788,11847336,12549790,14578148,14954853,,,,,,,,,,,,,,,,,,,,,,,,44684129,44673516,44699136,44710856,44707253,,,,44672030,44664797,44662100,44665770,44686863,44980330,45300936,45828716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redbull,null,,,,,,,,,,,,,,,,,,,,,,,,1559464,1752394,2000429,2000429,,,2659062,2808794,2870825,3051320,3085214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lady16makeup,null,,,,,,,,,,,,,,,,,,,,,,,,1503429,1753346,2180386,2180386,2893826,3116533,3600195,4101732,4284358,,,5425722,5828034,6132480,6374012,6569908,6824048,7059722,7348259,7672634,7900065,8185569,8387018,8685890,9058825,9377241,9643876,10007341,10313324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MonsieurDream,null,,,,,,,,,,,,,,,,,,,,,,,,1459521,1694703,2087608,2087608,2644361,2766184,3032115,3304508,3430172,,,4490057,4790664,5062209,5262990,5415747,5600823,5727399,5865267,6029784,6161813,6321569,6433304,6606605,6749446,6895963,7019273,7230921,7358293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThisIsHorosho,null,,,,,,,,,,,,,,,,,,,,,,,,1453633,1698954,2052477,2052477,,,2855653,3142830,3265860,,,3978909,4098820,4165999,4237973,4295425,4369859,4394852,4438440,4499062,4531934,4579749,4606876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtubeshowsus,null,,,,,,,,,,,,,,,,,,,,,,,,,2645607,4382515,4382515,7083334,7855018,9239834,10649389,10692515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JustForLaughsTV,null,,,,,,,,,,,,,,,,,,,,,,,,,1686022,2217520,2217520,2938421,3082938,3322593,3480867,3547205,,,3783602,3830747,3879002,3928386,3976069,4030909,4045300,4101606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheXFactorUSA,null,,,,,,,,,,,,,,,,,,,,,,,,,1652894,2045747,2045747,,,2839408,3009306,3130797,,,3632325,3691867,3731159,3759282,3781921,3808611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canalparafernalha,null,,,,,,,,,,,,,,,,,,,,,,,,,1622218,2148880,2148880,2918883,3100830,3369154,3597238,3693305,,,4257961,4633474,4938083,5108702,5212553,5344997,5495172,5666816,5826603,5931659,6093455,6180269,6265818,6374709,6497959,6602846,6729008,6825117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoshgames,null,,,,,,,,,,,,,,,,,,,,,,,,,1599484,1931953,1931953,2563194,2718298,3010195,3255106,3326781,,,3739406,3852306,3949920,4101757,4235882,4406828,4550180,4763607,4954856,5078715,5236720,5366940,5528259,5705389,5841118,5968144,6112350,6187257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,null,,,,,,,,,,,,,,,,,,,,,,,,,1594941,3578866,3578866,6615412,7488414,9719241,12287972,13216638,,,19522476,21111017,21937883,22049885,22121062,22205902,22061609,22081531,22099843,22158185,22218799,22224310,22659274,22710306,22760334,22795217,22848262,22936494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27992127,28037570,28078266,28087984,28089672,28125535,28182929,282000000,286000000,292000000
-lHJZR3Gqxm24_Vd_AJ5Yw,null,,,,,,,,,,,,,,,,,,,,,,,,,,5824739,5824739,7605213,7605213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zVIrPfZBE-XkBISBybMBLA,null,,,,,,,,,,,,,,,,,,,,,,,,,,4156435,4156435,4640082,4640082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJPby9DRCteedh5tfxVbrw,null,,,,,,,,,,,,,,,,,,,,,,,,,,2426508,2426508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portadosfundos,null,,,,,,,,,,,,,,,,,,,,,,,,,,2173625,2173625,3747416,4130495,4775233,5475653,5710892,,,7073447,7476788,7831925,8049257,8209749,8406443,8559810,8728937,8920493,9054311,9219232,9325263,9439914,9590801,9739532,9856240,10018057,10128417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skydoesminecraft,null,,,,,,,,,,,,,,,,,,,,,,,,,,2076553,2076553,3639241,4111698,4973842,5571099,5770932,6454548,6659284,7497518,8411051,9214533,9578828,9761038,9943144,10055664,10251025,10406228,10478902,10574765,10629593,10722742,10821792,10884095,10942980,10992987,11034087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IwFjwMjI0y7PDBVEO9-bkQ,null,,,,,,,,,,,,,,,,,,,,,,,,,,2051710,2051710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programagalofrito,null,,,,,,,,,,,,,,,,,,,,,,,,,,2004631,2004631,2855273,3108527,3478101,3748075,3848835,,,4715542,5003638,5228622,5378843,5468606,5558175,5621329,5711533,5817757,5893355,5985843,6042890,6123443,6211890,6305684,6397064,6565589,6672046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BadLipReading,null,,,,,,,,,,,,,,,,,,,,,,,,,,1837507,1837507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9gFih9rw0zNCK3ZtoKQQyA,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,8703829,8703829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2xskkQVFEpLcGFnNSLQY0A,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,8044021,8044021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cMTZY1rFXO3Rj44D5VMyiw,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,7528658,7528658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJ7m7EnCNodqnu5SAtg8eQ,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,6701009,6701009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DsO-0Yo5zpJk575nKXgMVA,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,5620058,5620058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0hYYBW6IMayGgR-WeoCvQ,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,5612121,5612121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR8-60-B28hp2BmDPdntcQ,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,5163877,5163877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rDkAvwZum-UTjHmzDI2iIw,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,5127424,5127424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_TVqp_SyG6j5hG-xVRy95A,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050980,5050980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-_hzb2ILSCo9ftVSnrCIQ,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,4921962,4921962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yjk_zY-iYR8YNfJmuzd70A,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,4668282,4668282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ieoHqKW-yYgDhLHIcx28w,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,3713034,3713034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2t5bjwHdUX4vM2g8TRDq5g,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,3708845,3708845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gc00bfF_PvO_2AvqJZHXFg,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,3129054,3129054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-5OZ2tYuwMLIcEyOsbdRA,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,2984846,2984846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YouTubeMoviesBR,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872437,3166083,3688034,4187340,4351002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27_Szq7BtHDoC0R2U0zxA,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,2813613,2813613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
movieclipsTRAILERS,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,2784326,3154567,3771122,4124235,4213637,,,4558463,4668270,4796254,4919934,5007496,5101818,5129149,5251873,5390299,5487345,5655412,5857013,6032533,6252890,6492461,6715862,7092603,7267262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psSadsgX_Qk9i6i_bJoUwQ,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,2649941,2649941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNs31xysxpAGMheg8OrngA,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enchufetv,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,2556542,2837855,3349106,3774345,3925522,4357941,4456379,4734671,4981758,5226965,5393106,5578628,5898193,6169165,6520721,6825501,7058632,7286457,7422705,7580614,7798488,7989801,8171842,8506540,8664944,9027082,9112509,9323571,9507309,9693284,9890331,10028195,10211279,10398909,10670366,10938478,11110058,11365648,11854664,12135012,12313909,12593953,12807356,13066319,13227063,13421265,13806284,14020944,14244840,14395124,14431813,14431813,14431813,14431813,14431813,16165107,16334638,16648732,16743971,17301671,17971487,18319179,18404287,18597735,18639268,18849003,19000209,19275690,19535344,19890780,20157784,20542232,20633535,20887964,21123253,,,,
jOl2AUblVmg2rA_cRgZkFg,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,2538072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
czhp4wznQWonO7Pb8HQ2MQ,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7886682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mu5gPmKp5av0QCAajKTMhw,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6234614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0v-tlzsn0QZwJnkiaUSJVQ,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4614508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWHPFNilsT0IfQfutVzsag,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3915202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myIMuo8zRYgLshDff0vLuw,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2749093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MisterEpicMann,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674005,2947957,3095246,3141718,3230573,3242403,3363942,3418525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vice,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2997076,3272345,3352078,3620864,3686547,3922434,4146875,4350228,4477618,4578363,4703396,4754428,4876751,5002502,5099690,5216212,5293051,5396463,5517684,5637225,5754141,5893246,5960484,6091315,6124420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JimmyKimmelLive,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2979279,3097355,3153715,,,3706964,3771624,3947128,4039302,4093127,4245532,4331469,4438126,4580668,4665627,4836473,5049659,5147283,5314755,5447878,5691452,5870876,5961394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elrubiusOMG,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2977154,3471067,3695343,4375054,4538612,5102114,5657774,6190963,6559883,6840935,7224545,7480569,7804242,8248482,8562631,8909101,9187087,9574238,10053954,10488221,10850709,11415452,11839853,12675414,12886296,13478946,13935759,14433460,14998530,15584483,16272603,16832614,17348255,18009377,18505929,18986253,19876533,20533013,20968612,21506312,21925075,22510402,22901572,23419208,24176114,24367573,24696121,24863092,24940756,24940756,24940756,24940756,24940756,27359833,27628171,28272005,28621596,29690015,30626107,31332897,31588935,32042299,32103591,32310262,32530282,33016986,33608082,34067672,34334907,34788857,34864484,35157264,35448018,35730089,359000000,362000000,364000000
ksiolajidebt,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2960507,3560345,3741875,,,4635780,4924994,5216096,5434909,5615250,5897294,6106118,6408904,6795833,7040490,7375922,7622794,7929560,8362249,8680833,8954462,9283433,9491762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failarmy,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2876928,3174765,3269811,3689832,3820348,4225595,4483939,4678418,4854023,4959887,5156639,5283227,5406109,5584373,5717771,5921536,6075277,6292128,6533960,6816069,7087534,7414675,7643276,8050835,8158284,8413566,8589304,8825088,9061373,9298887,9567140,9892080,10219315,10496725,10721241,10929796,11219014,11394383,11524747,11695841,11835435,12058004,12190374,12297947,12470666,12519122,12588315,12628504,12640601,12640601,12640601,12640601,12640601,13332354,13420589,13552126,13593690,,,,,,,,,,,,,,,,,,,,
CaELiKe,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2588257,2750730,2809311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13135371,13313430,13546930,13666384,,,,,,,,,,,,,,,,,,,,
speedyw03,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579446,2806690,3043060,4044424,4264762,4904259,5363712,5687022,5833596,5919453,6001959,6037798,6124342,6209142,6248958,6294189,6330758,6374194,6417089,6443773,6464700,6491845,6505633,6541169,6550964,6569095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tseries,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2569714,2796617,2903278,,,3831644,4136940,4457509,4666031,4797518,4998272,5159072,5354278,5591391,5765063,5968898,6107959,6263908,6468994,6664850,6823244,7031366,7180224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacksgap,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2753192,2827383,3003855,3042020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NormanFaitDesVideos,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2724280,,,3592163,3852608,4118333,4301747,4437919,4589935,4702409,4836500,4994552,5120762,5250115,5346176,5459277,5580008,5705356,5813215,5977445,6084872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YouTube Spotlight,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16553245,17146585,,,,,,,,,,,,,,,,,,,23007189,23013277,23029438,23008545,23020878,23591720,23946852,24000127,24008963,24002076,24035506,24049268,24182807,24175360,24154263,24139195,24120753,24132884,25502934,25544266,25531786,25512477,25497422,25507657,25603643,25602054,25602054,25602054,25602054,25602054,27205908,27211944,27226775,27223897,27237818,27195080,27156222,27148182,27121248,27074334,27079809,27917789,27996376,27991409,,,,,,,,,,
TV Shows,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10977923,11035465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Rap Battles of History,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8361893,8615480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FreddieW (RocketJump),null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6705435,6726329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rooster Teeth,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6676553,6712768,,,,,,,,,,,,,,,,,,,8282821,8278590,8222767,8239780,8288466,8360886,8407739,8450479,8530319,8581849,8632514,8695224,8683954,8721603,8748067,8775393,8847089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porta dos Fundos,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6420243,6569099,,,,,,,,,,,,,,,,,,,10318148,10373306,10508824,10621887,10766534,10931241,11111580,11296104,11405964,11487357,11724197,11961982,12167366,12378191,12529006,12639822,12739922,12818121,12909297,12986278,13038919,13153956,13182781,13251061,13284067,13292156,13292156,13292156,13292156,13292156,13919010,13988553,14113997,14163186,,,,,,,,,,,,,,,,,,,,
