name,time,index,rank,value,lastValue,age
Beverly Hills Cop II (1987),1989-12-01,22,5,58999405.7809692,58999405.7809692,0.5
Return of the Jedi (1983),1989-12-01,22,6,58857041.0006439,58857041.0006439,0
Back to the Future Part II (1989),1989-12-01,22,7,56011412.1021378,0,1
Rambo: First Blood Part II (1985),1989-12-01,22,8,47699955.3313116,47699955.3313116,0.1
Rocky IV (1985),1989-12-01,22,9,46400083.5203288,46400083.5203288,0.2
Lethal Weapon 2 (1989),1989-12-01,22,10,41027495.9809976,0,1
Star Trek III: The Search for Spock (1984),1989-12-01,22,11,40862917.8173578,40862917.8173578,0
Superman II (1981),1989-12-01,22,12,39598007.9492155,39598007.9492155,0
Batman (1989),1990-06-01,23,1,82920128.6575987,82920128.6575987,0.8
Indiana Jones and the Temple of Doom (1984),1990-06-01,23,2,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1990-06-01,23,3,60358396.9726994,60358396.9726994,0.8
Indiana Jones and the Last Crusade (1989),1990-06-01,23,4,60117001.4271394,60117001.4271394,0.8
Beverly Hills Cop II (1987),1990-06-01,23,5,58999405.7809692,58999405.7809692,0.4
Return of the Jedi (1983),1990-06-01,23,6,58857041.0006439,58857041.0006439,0
Back to the Future Part II (1989),1990-06-01,23,7,56011412.1021378,56011412.1021378,0.9
Total Recall (1990),1990-06-01,23,8,49956418.6882217,0,1
Teenage Mutant Ninja Turtles (1990),1990-06-01,23,9,49691641.0801848,0,1
Rambo: First Blood Part II (1985),1990-06-01,23,10,47699955.3313116,47699955.3313116,0
Rocky IV (1985),1990-06-01,23,11,46400083.5203288,46400083.5203288,0.1
Dick Tracy (1990),1990-06-01,23,12,44106927.5814319,0,1
Batman (1989),1990-12-01,24,1,82920128.6575987,82920128.6575987,0.7
Indiana Jones and the Temple of Doom (1984),1990-12-01,24,2,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1990-12-01,24,3,60358396.9726994,60358396.9726994,0.7
Indiana Jones and the Last Crusade (1989),1990-12-01,24,4,60117001.4271394,60117001.4271394,0.7
Beverly Hills Cop II (1987),1990-12-01,24,5,58999405.7809692,58999405.7809692,0.3
Return of the Jedi (1983),1990-12-01,24,6,58857041.0006439,58857041.0006439,0
Back to the Future Part II (1989),1990-12-01,24,7,56011412.1021378,56011412.1021378,0.8
Total Recall (1990),1990-12-01,24,8,49956418.6882217,49956418.6882217,0.9
Teenage Mutant Ninja Turtles (1990),1990-12-01,24,9,49691641.0801848,49691641.0801848,0.9
Rambo: First Blood Part II (1985),1990-12-01,24,10,47699955.3313116,47699955.3313116,0
Rocky IV (1985),1990-12-01,24,11,46400083.5203288,46400083.5203288,0
Dick Tracy (1990),1990-12-01,24,12,44106927.5814319,44106927.5814319,0.9
Batman (1989),1991-06-01,25,1,82920128.6575987,82920128.6575987,0.6
Indiana Jones and the Temple of Doom (1984),1991-06-01,25,2,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1991-06-01,25,3,60358396.9726994,60358396.9726994,0.6
Indiana Jones and the Last Crusade (1989),1991-06-01,25,4,60117001.4271394,60117001.4271394,0.6
Beverly Hills Cop II (1987),1991-06-01,25,5,58999405.7809692,58999405.7809692,0.2
Return of the Jedi (1983),1991-06-01,25,6,58857041.0006439,58857041.0006439,0
Back to the Future Part II (1989),1991-06-01,25,7,56011412.1021378,56011412.1021378,0.7
Total Recall (1990),1991-06-01,25,8,49956418.6882217,49956418.6882217,0.8
Teenage Mutant Ninja Turtles (1990),1991-06-01,25,9,49691641.0801848,49691641.0801848,0.8
Robin Hood: Prince of Thieves (1991),1991-06-01,25,10,47887466.8904118,0,1
Rambo: First Blood Part II (1985),1991-06-01,25,11,47699955.3313116,47699955.3313116,0
Rocky IV (1985),1991-06-01,25,12,46400083.5203288,46400083.5203288,0
Batman (1989),1991-12-01,26,1,82920128.6575987,82920128.6575987,0.5
Indiana Jones and the Temple of Doom (1984),1991-12-01,26,2,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1991-12-01,26,3,60358396.9726994,60358396.9726994,0.5
Indiana Jones and the Last Crusade (1989),1991-12-01,26,4,60117001.4271394,60117001.4271394,0.5
Beverly Hills Cop II (1987),1991-12-01,26,5,58999405.7809692,58999405.7809692,0.1
Return of the Jedi (1983),1991-12-01,26,6,58857041.0006439,58857041.0006439,0
Terminator 2: Judgment Day (1991),1991-12-01,26,7,58416351.8009262,0,1
Back to the Future Part II (1989),1991-12-01,26,8,56011412.1021378,56011412.1021378,0.6
Total Recall (1990),1991-12-01,26,9,49956418.6882217,49956418.6882217,0.7
Teenage Mutant Ninja Turtles (1990),1991-12-01,26,10,49691641.0801848,49691641.0801848,0.7
Robin Hood: Prince of Thieves (1991),1991-12-01,26,11,47887466.8904118,47887466.8904118,0.9
Rambo: First Blood Part II (1985),1991-12-01,26,12,47699955.3313116,47699955.3313116,0
Batman (1989),1992-06-01,27,1,82920128.6575987,82920128.6575987,0.4
Batman Returns (1992),1992-06-01,27,2,82879660.0658672,0,1
Indiana Jones and the Temple of Doom (1984),1992-06-01,27,3,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1992-06-01,27,4,60358396.9726994,60358396.9726994,0.4
Lethal Weapon 3 (1992),1992-06-01,27,5,60304524.0594433,0,1
Indiana Jones and the Last Crusade (1989),1992-06-01,27,6,60117001.4271394,60117001.4271394,0.4
Beverly Hills Cop II (1987),1992-06-01,27,7,58999405.7809692,58999405.7809692,0
Return of the Jedi (1983),1992-06-01,27,8,58857041.0006439,58857041.0006439,0
Terminator 2: Judgment Day (1991),1992-06-01,27,9,58416351.8009262,58416351.8009262,0.9
Back to the Future Part II (1989),1992-06-01,27,10,56011412.1021378,56011412.1021378,0.5
Total Recall (1990),1992-06-01,27,11,49956418.6882217,49956418.6882217,0.6
Teenage Mutant Ninja Turtles (1990),1992-06-01,27,12,49691641.0801848,49691641.0801848,0.6
Batman (1989),1992-12-01,28,1,82920128.6575987,82920128.6575987,0.3
Batman Returns (1992),1992-12-01,28,2,82879660.0658672,82879660.0658672,0.9
Indiana Jones and the Temple of Doom (1984),1992-12-01,28,3,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1992-12-01,28,4,60358396.9726994,60358396.9726994,0.3
Lethal Weapon 3 (1992),1992-12-01,28,5,60304524.0594433,60304524.0594433,0.9
Indiana Jones and the Last Crusade (1989),1992-12-01,28,6,60117001.4271394,60117001.4271394,0.3
Beverly Hills Cop II (1987),1992-12-01,28,7,58999405.7809692,58999405.7809692,0
Return of the Jedi (1983),1992-12-01,28,8,58857041.0006439,58857041.0006439,0
Terminator 2: Judgment Day (1991),1992-12-01,28,9,58416351.8009262,58416351.8009262,0.8
Back to the Future Part II (1989),1992-12-01,28,10,56011412.1021378,56011412.1021378,0.4
Home Alone 2: Lost in New York (1992),1992-12-01,28,11,55592655.000253,0,1
Bram Stoker's Dracula (1992),1992-12-01,28,12,54511761.5916514,0,1
Batman (1989),1993-06-01,29,1,82920128.6575987,82920128.6575987,0.2
Batman Returns (1992),1993-06-01,29,2,82879660.0658672,82879660.0658672,0.8
Jurassic Park (1993),1993-06-01,29,3,82825878.6039085,0,1
Indiana Jones and the Temple of Doom (1984),1993-06-01,29,4,62096198.9612343,62096198.9612343,0
